iter	Passed	Remaining
0	31	31043
1	55	27483
2	85	28526
3	115	28671
4	144	28739
5	174	28917
6	204	28951
7	236	29364
8	268	29556
9	297	29441
10	328	29548
11	359	29629
12	392	29831
13	424	29887
14	467	30675
15	509	31306
16	548	31716
17	592	32312
18	636	32878
19	669	32822
20	707	32991
21	742	32994
22	774	32906
23	808	32896
24	839	32756
25	872	32667
26	905	32619
27	937	32552
28	972	32555
29	1006	32552
30	1036	32401
31	1069	32359
32	1103	32347
33	1134	32241
34	1164	32113
35	1202	32210
36	1236	32195
37	1273	32244
38	1309	32264
39	1344	32256
40	1378	32238
41	1412	32210
42	1453	32353
43	1494	32463
44	1532	32519
45	1573	32633
46	1613	32718
47	1647	32669
48	1680	32610
49	1731	32889
50	1771	32972
51	1802	32854
52	1837	32837
53	1870	32772
54	1902	32681
55	1936	32652
56	1955	32347
57	1984	32237
58	2019	32207
59	2054	32184
60	2088	32151
61	2124	32136
62	2158	32109
63	2193	32081
64	2227	32039
65	2259	31979
66	2292	31929
67	2326	31881
68	2358	31826
69	2391	31770
70	2425	31735
71	2472	31862
72	2512	31904
73	2553	31954
74	2595	32008
75	2636	32056
76	2670	32013
77	2706	31992
78	2742	31975
79	2780	31977
80	2811	31902
81	2844	31844
82	2875	31764
83	2891	31533
84	2922	31460
85	2953	31387
86	2984	31315
87	3014	31242
88	3049	31214
89	3073	31077
90	3107	31038
91	3138	30975
92	3169	30906
93	3203	30872
94	3235	30826
95	3271	30805
96	3304	30764
97	3337	30715
98	3369	30663
99	3400	30603
100	3432	30553
101	3470	30550
102	3513	30594
103	3553	30614
104	3585	30564
105	3617	30506
106	3648	30449
107	3684	30428
108	3724	30444
109	3766	30475
110	3800	30441
111	3836	30414
112	3869	30371
113	3900	30315
114	3935	30283
115	3950	30108
116	3981	30050
117	4013	29999
118	4046	29956
119	4078	29907
120	4106	29831
121	4138	29786
122	4170	29739
123	4199	29669
124	4230	29613
125	4264	29582
126	4297	29543
127	4331	29508
128	4367	29488
129	4398	29434
130	4428	29376
131	4462	29341
132	4496	29312
133	4529	29275
134	4562	29233
135	4597	29209
136	4626	29142
137	4658	29097
138	4697	29095
139	4737	29103
140	4777	29103
141	4813	29087
142	4848	29054
143	4882	29023
144	4916	28988
145	4958	29006
146	5000	29018
147	5039	29012
148	5069	28953
149	5106	28937
150	5135	28877
151	5170	28845
152	5204	28810
153	5236	28766
154	5267	28715
155	5297	28661
156	5329	28616
157	5361	28574
158	5393	28530
159	5428	28497
160	5462	28463
161	5479	28345
162	5510	28296
163	5543	28257
164	5576	28218
165	5610	28189
166	5643	28151
167	5678	28123
168	5713	28091
169	5746	28057
170	5779	28020
171	5812	27981
172	5827	27856
173	5864	27838
174	5895	27790
175	5927	27750
176	5963	27726
177	6002	27718
178	6043	27718
179	6074	27670
180	6107	27637
181	6141	27600
182	6181	27595
183	6223	27601
184	6263	27594
185	6300	27574
186	6337	27553
187	6368	27505
188	6401	27468
189	6436	27437
190	6466	27390
191	6501	27358
192	6516	27247
193	6548	27207
194	6577	27154
195	6609	27112
196	6640	27068
197	6672	27025
198	6704	26986
199	6739	26956
200	6771	26917
201	6806	26887
202	6842	26864
203	6877	26834
204	6911	26804
205	6947	26777
206	6978	26734
207	7008	26685
208	7039	26642
209	7073	26608
210	7104	26566
211	7138	26534
212	7172	26500
213	7205	26466
214	7245	26455
215	7283	26438
216	7315	26397
217	7351	26369
218	7370	26286
219	7398	26232
220	7434	26205
221	7473	26190
222	7505	26152
223	7539	26119
224	7575	26091
225	7604	26044
226	7636	26003
227	7673	25980
228	7714	25972
229	7759	25978
230	7789	25931
231	7822	25893
232	7854	25856
233	7891	25833
234	7924	25798
235	7952	25745
236	7989	25720
237	8025	25694
238	8055	25647
239	8084	25601
240	8097	25503
241	8126	25453
242	8156	25410
243	8190	25377
244	8219	25330
245	8248	25281
246	8282	25248
247	8313	25209
248	8344	25168
249	8377	25132
250	8410	25097
251	8455	25099
252	8497	25088
253	8534	25067
254	8575	25054
255	8607	25016
256	8638	24973
257	8656	24896
258	8687	24853
259	8719	24817
260	8750	24775
261	8778	24726
262	8813	24697
263	8850	24673
264	8883	24639
265	8914	24599
266	8944	24556
267	8976	24516
268	9010	24484
269	9041	24446
270	9073	24407
271	9104	24368
272	9135	24327
273	9168	24292
274	9199	24252
275	9230	24213
276	9261	24174
277	9294	24138
278	9329	24109
279	9363	24078
280	9395	24040
281	9427	24003
282	9470	23993
283	9510	23977
284	9544	23946
285	9559	23865
286	9588	23821
287	9624	23794
288	9660	23767
289	9703	23755
290	9741	23735
291	9774	23700
292	9807	23665
293	9841	23633
294	9878	23608
295	9889	23520
296	9923	23488
297	9954	23450
